,Unnamed: 0,Solar_Power,timestamp,station_id,rh,eto,etr,rso,ea_avg,precip,rh_max,rh_min,rh_tmn,rh_tmx,td_avg,td_max,td_min,td_tmn,td_tmx,co2_avg,ppf_avg,solarmj,wet_pct,airt_avg,airt_max,airt_min,airt_tmn,airt_tmx,lwdn_avg,lwup_avg,pressure,swdn_avg,swup_avg,windd_sd,windd_avg,winds_avg,winds_max,winds_tmx,netrad_avg,fan_rmp_avg,visibilitymiles,batt_volt_min,surfacet1_avg,surfacet2_avg,visibilitymiles_avg,pressurekpasealevel
0,0,52212.0,2019-07-11 13:15:44,1279257,20,0.027000000000000003,0.031,3.5180000000000002,0.968,0.0,25,15,11JUL2019:12:57:31,11JUL2019:12:17:51,43.5,49.5,37.8,11JUL2019:12:42:24,11JUL2019:12:17:54,425.4,2050.0,3.398,0,88.7,91.0,86.2,11JUL2019:12:05:22,11JUL2019:12:56:22,504.7,410.0,86.1,202.9,992.0,58.0,296.0,2.908,10.066,11JUL2019:12:39:38,694.6,4511,17.771,12.55,92.1,95.0,18.765,101.6
1,1,52593.0,2019-07-11 14:00:07,1279257,18,0.028999999999999998,0.033,3.472,0.848,0.0,20,15,11JUL2019:13:56:21,11JUL2019:13:47:01,40.3,46.4,37.0,11JUL2019:13:32:04,11JUL2019:13:47:04,423.2,2005.0,3.3289999999999997,0,90.5,91.8,89.4,11JUL2019:13:20:22,11JUL2019:13:05:52,504.6,411.6,86.0,202.0,975.0,60.0,293.0,3.355,10.737,11JUL2019:13:16:50,679.8,4490,12.675999999999998,12.55,91.0,94.8,18.765,101.5
2,2,42190.0,2019-07-11 16:03:46,1279257,16,0.027000000000000003,0.031,2.782,0.8420000000000001,0.0,18,13,11JUL2019:15:29:51,11JUL2019:15:24:31,40.1,43.7,34.9,11JUL2019:15:29:54,11JUL2019:15:24:34,425.0,1568.0,2.63,0,91.2,92.7,90.1,11JUL2019:15:21:42,11JUL2019:15:17:02,498.4,408.9,85.9,179.0,772.0,67.0,297.0,2.6839999999999997,10.514000000000001,11JUL2019:15:49:05,503.5,4470,19.884,12.55,86.7,93.9,19.014,101.4
3,3,33399.0,2019-07-11 17:00:04,1279257,16,0.022000000000000002,0.026000000000000002,2.202,0.782,0.0,19,13,11JUL2019:16:11:21,11JUL2019:16:56:51,38.1,44.4,34.9,11JUL2019:16:11:24,11JUL2019:16:56:54,426.4,1221.0,2.083,0,91.0,92.5,89.8,11JUL2019:16:56:42,11JUL2019:16:16:02,488.6,404.3,85.8,152.0,606.3,77.0,277.0,2.237,10.066,11JUL2019:16:25:46,370.0,4469,19.884,12.53,85.1,88.9,19.573,101.3
4,4,22369.0,2019-07-11 18:00:01,1279257,23,0.017,0.02,1.534,0.826,0.0,32,14,11JUL2019:17:01:21,11JUL2019:17:14:41,39.6,55.8,36.1,11JUL2019:17:32:54,11JUL2019:17:14:44,427.8,830.0,1.469,0,89.4,91.6,80.8,11JUL2019:17:14:32,11JUL2019:17:59:02,469.9,396.3,85.8,109.1,416.8,69.0,300.0,1.5659999999999998,9.171,11JUL2019:17:16:10,234.1,4399,19.884,12.23,83.5,78.1,19.014,101.3
5,5,11111.0,2019-07-11 19:00:02,1279257,18,0.011000000000000001,0.013000000000000001,0.8280001,0.857,0.0,22,14,11JUL2019:18:04:21,11JUL2019:18:15:51,40.5,47.1,36.5,11JUL2019:18:04:24,11JUL2019:18:15:54,429.4,508.0,1.1440000000000001,0,88.3,91.0,82.9,11JUL2019:18:15:32,11JUL2019:18:03:42,449.4,390.1,85.8,41.14,286.0,55.0,279.0,0.895,4.25,11JUL2019:18:03:06,185.5,4340,19.635,12.07,77.5,70.3,19.2,101.3
6,6,3799.0,2019-07-11 20:00:02,1279257,21,0.006999999999999999,0.008,0.203,0.879,0.0,25,16,11JUL2019:19:00:51,11JUL2019:19:45:51,41.2,44.2,37.6,11JUL2019:19:59:54,11JUL2019:19:13:04,434.5,94.3,0.225,0,84.4,89.2,80.8,11JUL2019:19:50:22,11JUL2019:19:00:42,430.1,377.2,85.8,2.1180000000000003,36.52,41.0,311.0,0.895,4.25,11JUL2019:19:56:40,-18.47,4334,19.884,12.02,69.1,66.7,19.76,101.3
7,7,3510.0,2019-07-12 06:17:51,1279257,41,0.004,0.006,0.09,0.8390000000000001,0.0,42,40,12JUL2019:05:01:51,12JUL2019:05:49:31,39.9,40.3,39.7,12JUL2019:05:02:34,12JUL2019:05:28:44,452.7,31.28,0.04,0,63.9,65.3,63.1,12JUL2019:05:49:22,12JUL2019:05:00:32,387.8,332.9,86.0,2.565,9.55,63.0,117.0,4.25,15.210999999999999,12JUL2019:05:59:58,-47.99,4210,19.884,11.69,56.5,56.5,19.822,101.5
8,8,8400.0,2019-07-12 07:00:01,1279257,43,0.003,0.005,0.6390001000000001,0.857,0.0,46,39,12JUL2019:06:57:01,12JUL2019:06:30:41,40.5,43.3,39.7,12JUL2019:06:01:24,12JUL2019:06:30:24,451.5,96.4,0.125,0,64.9,66.6,63.5,12JUL2019:06:12:22,12JUL2019:06:59:02,391.2,335.0,86.0,6.247000000000001,36.55,60.0,67.0,4.25,18.567,12JUL2019:06:04:35,-25.89,4220,19.884,11.75,57.7,57.6,19.822,101.5
9,9,18935.0,2019-07-12 08:00:01,1279257,38,0.004,0.006,1.3319999999999999,0.902,0.0,40,35,12JUL2019:07:50:21,12JUL2019:07:09:51,41.9,43.3,40.8,12JUL2019:07:00:01,12JUL2019:07:59:54,444.8,615.0,1.087,0,68.9,72.0,66.2,12JUL2019:07:00:01,12JUL2019:07:59:22,407.9,350.4,86.0,55.3,320.2,50.0,134.0,3.5789999999999997,11.632,12JUL2019:07:49:46,207.4,4267,19.884,11.8,61.2,65.1,19.76,101.6
10,10,30601.0,2019-07-12 09:00:05,1279257,40,0.009000000000000001,0.012,2.0140000000000002,1.104,0.0,46,33,12JUL2019:08:16:31,12JUL2019:08:57:01,46.9,52.7,42.6,12JUL2019:08:11:44,12JUL2019:08:58:34,449.4,1103.0,1.895,0,73.0,74.8,71.6,12JUL2019:08:19:12,12JUL2019:08:25:12,444.9,367.7,86.0,132.3,549.4,55.0,62.0,3.1319999999999997,13.869000000000002,12JUL2019:08:10:20,339.9,4460,17.088,12.28,75.9,76.1,18.765,101.5
11,11,38145.0,2019-07-12 10:00:06,1279257,45,0.015,0.018000000000000002,2.603,1.33,0.0,50,40,12JUL2019:09:53:51,12JUL2019:09:15:51,52.2,56.5,50.4,12JUL2019:09:03:04,12JUL2019:09:44:14,457.0,1355.0,2.293,0,74.7,77.7,72.5,12JUL2019:09:19:02,12JUL2019:09:44:02,465.9,386.1,86.0,150.4,663.0,65.0,17.0,2.237,6.487,12JUL2019:09:17:43,432.8,4516,15.534,12.7,84.9,81.1,17.771,101.5
